*Product Code,*Product Description,Notes,Barcode,Unit of Measure,Min Stock Alert Level,Max Stock Alert Level,Label Template,SO Label Template,PO Label Template,SO Label Quantity,PO Label Quantity,Supplier Code,Supplier Name,Supplier Product Code,Default Purchase Price,Minimum Order Quantity,Minimum Sale Quantity,Default Sell Price,Minimum Sell Price,Sell Price Tier 1,Sell Price Tier 2,Sell Price Tier 3,Sell Price Tier 4,Sell Price Tier 5,Sell Price Tier 6,Sell Price Tier 7,Sell Price Tier 8,Sell Price Tier 9,Sell Price Tier 10,Pack Size,Weight,Width,Height,Depth,Reminder,Last Cost,Nominal Cost,Comments,Copy Comments for Sales,Copy Comments for Purchases,Never Diminishing,Product Group,Product Sub Group,Product Brand,Sales Account,COGS Account,Purchase Account,Purchase Tax Type,Purchase Tax Rate,Sales Tax Type,Sale Tax Rate,IsAssembledProduct,IsComponent,IsObsoleted,Is Sellable,Is Purchasable,Default Purchasing Unit of Measure
MWBBFRZ10,Rubber EZ Fixed Barbells - 40kg,,MWBBFRZ10,KG,,,,,,Order Quantity,Order Quantity,,,,0.0000,,,236.3636,0.0000,,,,,,,,,,,,41.000,105.4,16.3,16.3,,,,,False,False,No,Weightlifting,Barbells,MK,4405,5405,,,,,,No,Yes,No,Yes,Yes,KG
MWBBFUR02,Urethane Fixed Barbells - 12.5kg,,MWBBFUR02,KG,0.0000,0.0000,,,,Order Quantity,Order Quantity,DY,Dayufitness,,43.9031,,,100.0000,0.0000,72.2580,72.2580,75.0000,80.0000,85.0000,90.0000,100.0000,68.8086,76.9200,100.0000,,14.000,105.4,16.3,16.3,,,,,False,False,No,Weightlifting,Barbells,MK,4405,5405,,,,,,No,Yes,No,Yes,Yes,KG
MWBBFUR04,Urethane Fixed Barbells - 17.5kg,,MWBBFUR04,KG,0.0000,0.0000,,,,Order Quantity,Order Quantity,DY,Dayufitness,,61.4089,,,136.3636,0.0000,101.0889,101.0889,102.2727,109.0909,115.9091,122.7273,136.3636,96.3128,104.9000,136.3600,,19.000,105.4,16.3,16.3,,,,,False,False,No,Weightlifting,Barbells,MK,4405,5405,,,,,,No,Yes,No,Yes,Yes,KG
MWBBFUR06,Urethane Fixed Barbells - 22.5kg,,MWBBFUR06,KG,0.0000,0.0000,,,,Order Quantity,Order Quantity,DY,Dayufitness,,78.9147,,,172.7273,0.0000,129.9198,129.9198,129.9198,138.1818,146.8182,155.4545,172.7273,123.8170,132.8700,172.7300,,24.000,105.4,16.3,16.3,,,,,False,False,No,Weightlifting,Barbells,MK,4405,5405,,,,,,No,Yes,No,Yes,Yes,KG
MWBBFUR09,Fixed PU Straight Barbell - 35kg,,MWBBFUR09,KG,0.0000,0.0000,,,,Order Quantity,Order Quantity,DY,Dayufitness,,122.5408,,,263.6364,0.0000,201.8165,201.8165,201.8165,210.9091,224.0909,237.2727,263.6364,192.5296,202.8000,263.6400,,36.000,105.4,16.3,16.3,,,,,False,False,No,Weightlifting,Barbells,MK,4405,5405,,,,,,No,Yes,No,Yes,Yes,KG
MWBBFUR10,Fixed PU Straight Barbell - 40kg,,MWBBFUR10,KG,0.0000,0.0000,,,,Order Quantity,Order Quantity,DY,Dayufitness,,140.0466,,,300.0000,0.0000,230.6474,230.6474,230.6474,240.0000,255.0000,270.0000,300.0000,220.0338,230.7700,300.0000,,41.000,105.4,16.3,16.3,,,,,False,False,No,Weightlifting,Barbells,MK,4405,5405,,,,,,No,Yes,No,Yes,Yes,KG
MWWLACC01,Barbell Squat Pad,,MWWLACC01,KG,0.0000,0.0000,,,,Order Quantity,Order Quantity,MDS,"Nantong Modern Sporting Industrial Co., Ltd",PMB469,5.9368,,,18.1818,0.0000,11.8182,12.7273,13.6364,14.5455,15.4545,16.3636,18.1818,8.2638,13.9900,18.1800,,1.000,45,11,11,,4.5000,,,False,False,No,Weightlifting,Weightlifting Accessories,MK,4425,5425,,,,,,No,Yes,No,Yes,Yes,KG
MWWPOPR01,Olympic Premium Rubber Weight Plates (3 Grip) - 1.25kg,,MWWPOPR01,KG,0.0000,0.0000,,,,Order Quantity,Order Quantity,DY,Dayufitness,,2.6815,,,6.3636,0.0000,4.1364,4.4545,4.7727,5.0909,5.4091,5.7273,6.3636,3.4602,4.9000,6.3600,,2.000,17,3.2,17,,,,,False,False,No,Weightlifting,Weight Plates,MK,4420,5420,,,,,,No,Yes,No,Yes,Yes,KG
MWWPOPR02,Olympic Premium Rubber Weight Plates (3 Grip) - 2.5kg,,MWWPOPR02,KG,0.0000,0.0000,,,,Order Quantity,Order Quantity,DY,Dayufitness,,5.3138,,,12.7273,0.0000,8.2727,8.9091,9.5455,10.1818,10.8182,11.4545,12.7273,6.8865,9.7900,12.7300,,3.000,21,3.5,21,,,,,False,False,No,Weightlifting,Weight Plates,MK,4420,5420,,,,,,No,Yes,No,Yes,Yes,KG
MWWPOU01,Olympic Urethane Weight Plates (3 Grip) - 1.5kg,,MWWPOU01,KG,0.0000,0.0000,,,,Order Quantity,Order Quantity,DY,Dayufitness,,4.0428,,,9.0909,0.0000,6.1911,6.3636,6.8182,7.2727,7.7273,8.1818,9.0909,5.8461,6.9900,9.0900,,2.000,17,3.2,17,,,,,False,False,No,Weightlifting,Weight Plates,MK,4420,5420,,,,,,No,Yes,No,Yes,Yes,KG
